,ligand,receptor,species,score
CEL_CXCR4,CEL,CXCR4,Human,1
SFTPD_SIRPA,SFTPD,SIRPA,Human,1
MMP9_RECK,MMP9,RECK,Human,1
MMP9_CD44,MMP9,CD44,Human,1
MMP9_ITGB2,MMP9,ITGB2,Human,1
MMP9_EPHB2,MMP9,EPHB2,Human,1
SPTAN1_PTPRA,SPTAN1,PTPRA,Human,1
COL9A2_ITGB1,COL9A2,ITGB1,Human,1
PLAU_VLDLR,PLAU,VLDLR,Human,1
PLAU_ITGB1,PLAU,ITGB1,Human,1
PLAU_ITGB2,PLAU,ITGB2,Human,1
ANGPTL2_LILRB2,ANGPTL2,LILRB2,Human,1
COL16A1_ITGB1,COL16A1,ITGB1,Human,1
HSPG2_SDC1,HSPG2,SDC1,Human,1
HSPG2_ITGB1,HSPG2,ITGB1,Human,1
HSPG2_FGFR1,HSPG2,FGFR1,Human,1
COL5A2_ITGB1,COL5A2,ITGB1,Human,1
COL5A2_DDR1,COL5A2,DDR1,Human,1
F10_ITGB2,F10,ITGB2,Human,1
COL4A1_ITGB1,COL4A1,ITGB1,Human,1
HLA-C_LILRB2,HLA-C,LILRB2,Human,1
HLA-C_CD3G,HLA-C,CD3G,Human,1
HLA-E_KLRD1,HLA-E,KLRD1,Human,1
ANXA1_FPR1,ANXA1,FPR1,Human,1
ANXA1_DYSF,ANXA1,DYSF,Human,1
ACTR2_LDLR,ACTR2,LDLR,Human,1
AGRN_ITGB1,AGRN,ITGB1,Human,1
ZG16B_CXCR4,ZG16B,CXCR4,Human,1
LAMA1_ITGA6,LAMA1,ITGA6,Human,1
LAMA1_ITGA7,LAMA1,ITGA7,Human,1
LAMA1_ITGB1,LAMA1,ITGB1,Human,1
LAMB3_CD151,LAMB3,CD151,Human,1
LAMB3_ITGB1,LAMB3,ITGB1,Human,1
LAMB3_ITGA6,LAMB3,ITGA6,Human,1
AFDN_EPHB6,AFDN,EPHB6,Human,1
AFDN_NECTIN3,AFDN,NECTIN3,Human,1
SPP1_CD44,SPP1,CD44,Human,1
SPP1_ITGB1,SPP1,ITGB1,Human,1
LGALS9_CD44,LGALS9,CD44,Human,1
LGALS9_SLC1A5,LGALS9,SLC1A5,Human,1
ADM2_CALCRL,ADM2,CALCRL,Human,1
CXCL12_ITGB1,CXCL12,ITGB1,Human,1
CXCL12_CXCR4,CXCL12,CXCR4,Human,1
HLA-A_CD3G,HLA-A,CD3G,Human,1
TCTN1_TMEM67,TCTN1,TMEM67,Human,1
POMC_MC1R,POMC,MC1R,Human,1
SAA1_FPR1,SAA1,FPR1,Human,1
MDK_ITGA6,MDK,ITGA6,Human,1
PTPN6_CD300LF,PTPN6,CD300LF,Human,1
C4A_C5AR2,C4A,C5AR2,Human,1
HLA-B_CD3G,HLA-B,CD3G,Human,1
LAMA2_ITGA7,LAMA2,ITGA7,Human,1
LRPAP1_LDLR,LRPAP1,LDLR,Human,1
HSPA8_LDLR,HSPA8,LDLR,Human,1
S100A10_CFTR,S100A10,CFTR,Human,1
HSP90AA1_CFTR,HSP90AA1,CFTR,Human,1
PLAU_ITGA3,PLAU,ITGA3,Human,1
LAMA3_ITGA3,LAMA3,ITGA3,Human,1
LAMA4_ITGA3,LAMA4,ITGA3,Human,1
LAMA2_ITGA3,LAMA2,ITGA3,Human,1
LAMA1_ITGA3,LAMA1,ITGA3,Human,1
LGALS8_ITGA3,LGALS8,ITGA3,Human,1
NID1_ITGA3,NID1,ITGA3,Human,1
LAMC3_ITGA3,LAMC3,ITGA3,Human,1
THBS1_ITGA3,THBS1,ITGA3,Human,1
CALR_ITGA3,CALR,ITGA3,Human,1
TIMP2_ITGA3,TIMP2,ITGA3,Human,1
RELN_ITGA3,RELN,ITGA3,Human,1
LAMB2_ITGA3,LAMB2,ITGA3,Human,1
LAMA5_ITGA3,LAMA5,ITGA3,Human,1
ADAM9_ITGA3,ADAM9,ITGA3,Human,1
LAMC1_ITGA3,LAMC1,ITGA3,Human,1
LAMB3_ITGA3,LAMB3,ITGA3,Human,1
COL18A1_ITGA3,COL18A1,ITGA3,Human,1
VTN_ITGA3,VTN,ITGA3,Human,1
LAMB1_ITGA3,LAMB1,ITGA3,Human,1
LAMC2_ITGA3,LAMC2,ITGA3,Human,1
FN1_ITGA3,FN1,ITGA3,Human,1
MIF_CD74,MIF,CD74,Human,1
APP_CD74,APP,CD74,Human,1
HLA-G_CD4,HLA-G,CD4,Human,1
CXCL12_CD4,CXCL12,CD4,Human,1
SLPI_CD4,SLPI,CD4,Human,1
IL16_CD4,IL16,CD4,Human,1
CALM1_SCTR,CALM1,SCTR,Human,1
RTN4_RTN4R,RTN4,RTN4R,Human,1
CALM2_KCNQ1,CALM2,KCNQ1,Human,1
CALM1_KCNQ1,CALM1,KCNQ1,Human,1
CALM3_KCNQ1,CALM3,KCNQ1,Human,1
TNF_TNFRSF1A,TNF,TNFRSF1A,Human,1
LTB_TNFRSF1A,LTB,TNFRSF1A,Human,1
RTN4_NGFR,RTN4,NGFR,Human,1
APP_NGFR,APP,NGFR,Human,1
CD99_PILRA,CD99,PILRA,Human,1
LAMA3_ITGB4,LAMA3,ITGB4,Human,1
LAMA2_ITGB4,LAMA2,ITGB4,Human,1
LAMC3_ITGB4,LAMC3,ITGB4,Human,1
LAMB2_ITGB4,LAMB2,ITGB4,Human,1
LAMA5_ITGB4,LAMA5,ITGB4,Human,1
LAMC1_ITGB4,LAMC1,ITGB4,Human,1
LAMA1_ITGB4,LAMA1,ITGB4,Human,1
LAMB3_ITGB4,LAMB3,ITGB4,Human,1
LAMB1_ITGB4,LAMB1,ITGB4,Human,1
LAMC2_ITGB4,LAMC2,ITGB4,Human,1
TGFB1_TGFBR3,TGFB1,TGFBR3,Human,1
TGFB3_TGFBR3,TGFB3,TGFBR3,Human,1
INHA_TGFBR3,INHA,TGFBR3,Human,1
INHBA_TGFBR3,INHBA,TGFBR3,Human,1
IL16_KCND1,IL16,KCND1,Human,1
TNFSF10_TNFRSF10A,TNFSF10,TNFRSF10A,Human,1
APP_APLP1,APP,APLP1,Human,1
CXCL8_CD79A,CXCL8,CD79A,Human,1
FN1_CD79A,FN1,CD79A,Human,1
LAMA1_ITGB8,LAMA1,ITGB8,Human,1
VTN_ITGB8,VTN,ITGB8,Human,1
COL4A1_ITGB8,COL4A1,ITGB8,Human,1
FN1_ITGB8,FN1,ITGB8,Human,1
C1QB_C1QBP,C1QB,C1QBP,Human,1
HBEGF_CD82,HBEGF,CD82,Human,1
TNFSF14_LTBR,TNFSF14,LTBR,Human,1
LTB_LTBR,LTB,LTBR,Human,1
LEFTY1_ACVR2A,LEFTY1,ACVR2A,Human,1
INHA_ACVR2A,INHA,ACVR2A,Human,1
INHBA_ACVR2A,INHBA,ACVR2A,Human,1
BMP2_ACVR2A,BMP2,ACVR2A,Human,1
GDF11_ACVR2A,GDF11,ACVR2A,Human,1
ADM_RAMP3,ADM,RAMP3,Human,1
ADM2_RAMP3,ADM2,RAMP3,Human,1
POMC_RAMP3,POMC,RAMP3,Human,1
CD55_ADGRE5,CD55,ADGRE5,Human,1
CALM2_PDE1B,CALM2,PDE1B,Human,1
CALM1_PDE1B,CALM1,PDE1B,Human,1
CALM3_PDE1B,CALM3,PDE1B,Human,1
AGRN_LRP1,AGRN,LRP1,Human,1
GPC3_LRP1,GPC3,LRP1,Human,1
PDGFB_LRP1,PDGFB,LRP1,Human,1
A2M_LRP1,A2M,LRP1,Human,1
SERPINA1_LRP1,SERPINA1,LRP1,Human,1
SERPINE2_LRP1,SERPINE2,LRP1,Human,1
HSPG2_LRP1,HSPG2,LRP1,Human,1
APOE_LRP1,APOE,LRP1,Human,1
MMP9_LRP1,MMP9,LRP1,Human,1
HSP90B1_LRP1,HSP90B1,LRP1,Human,1
MDK_LRP1,MDK,LRP1,Human,1
PLAU_LRP1,PLAU,LRP1,Human,1
LRPAP1_LRP1,LRPAP1,LRP1,Human,1
C3_LRP1,C3,LRP1,Human,1
THBS1_LRP1,THBS1,LRP1,Human,1
HSP90AA1_LRP1,HSP90AA1,LRP1,Human,1
CALR_LRP1,CALR,LRP1,Human,1
C1QB_LRP1,C1QB,LRP1,Human,1
C4BPA_LRP1,C4BPA,LRP1,Human,1
VWF_LRP1,VWF,LRP1,Human,1
APP_LRP1,APP,LRP1,Human,1
PSAP_LRP1,PSAP,LRP1,Human,1
F12_CD93,F12,CD93,Human,1
COL4A5_CD93,COL4A5,CD93,Human,1
COL4A2_CD93,COL4A2,CD93,Human,1
COL1A2_CD93,COL1A2,CD93,Human,1
COL4A1_CD93,COL4A1,CD93,Human,1
C1QA_CD93,C1QA,CD93,Human,1
GNAI2_S1PR4,GNAI2,S1PR4,Human,1
HLA-B_CANX,HLA-B,CANX,Human,1
TNF_TRAF2,TNF,TRAF2,Human,1
FADD_TRAF2,FADD,TRAF2,Human,1
GSTP1_TRAF2,GSTP1,TRAF2,Human,1
WNT4_SMO,WNT4,SMO,Human,1
BMP2_SMO,BMP2,SMO,Human,1
SHH_SMO,SHH,SMO,Human,1
CCL5_ACKR4,CCL5,ACKR4,Human,1
CCL21_ACKR4,CCL21,ACKR4,Human,1
CCL19_ACKR4,CCL19,ACKR4,Human,1
S100A9_CD68,S100A9,CD68,Human,1
S100A8_CD68,S100A8,CD68,Human,1
AFDN_NECTIN2,AFDN,NECTIN2,Human,1
AGT_MAS1,AGT,MAS1,Human,1
ADM_RAMP2,ADM,RAMP2,Human,1
ADM2_RAMP2,ADM2,RAMP2,Human,1
POMC_RAMP2,POMC,RAMP2,Human,1
ADM_RAMP1,ADM,RAMP1,Human,1
ADM2_RAMP1,ADM2,RAMP1,Human,1
LRPAP1_SORT1,LRPAP1,SORT1,Human,1
PSAP_SORT1,PSAP,SORT1,Human,1
MFNG_NOTCH2,MFNG,NOTCH2,Human,1
PSEN1_NOTCH2,PSEN1,NOTCH2,Human,1
ADAM10_NOTCH2,ADAM10,NOTCH2,Human,1
APP_NOTCH2,APP,NOTCH2,Human,1
JAG2_NOTCH2,JAG2,NOTCH2,Human,1
PDGFC_PDGFRA,PDGFC,PDGFRA,Human,1
PDGFB_PDGFRA,PDGFB,PDGFRA,Human,1
PDGFD_PDGFRA,PDGFD,PDGFRA,Human,1
PDGFA_PDGFRA,PDGFA,PDGFRA,Human,1
LAMA1_NT5E,LAMA1,NT5E,Human,1
FN1_NT5E,FN1,NT5E,Human,1
TNF_RIPK1,TNF,RIPK1,Human,1
CD14_RIPK1,CD14,RIPK1,Human,1
CALR_HLA-F,CALR,HLA-F,Human,1
B2M_HLA-F,B2M,HLA-F,Human,1
MDK_SORL1,MDK,SORL1,Human,1
LRPAP1_SORL1,LRPAP1,SORL1,Human,1
APP_SORL1,APP,SORL1,Human,1
TNC_ITGAV,TNC,ITGAV,Human,1
PLAU_ITGAV,PLAU,ITGAV,Human,1
COL4A5_ITGAV,COL4A5,ITGAV,Human,1
SPP1_ITGAV,SPP1,ITGAV,Human,1
NID1_ITGAV,NID1,ITGAV,Human,1
PDGFB_ITGAV,PDGFB,ITGAV,Human,1
CALR_ITGAV,CALR,ITGAV,Human,1
FGG_ITGAV,FGG,ITGAV,Human,1
FGA_ITGAV,FGA,ITGAV,Human,1
MFGE8_ITGAV,MFGE8,ITGAV,Human,1
FGB_ITGAV,FGB,ITGAV,Human,1
FBN1_ITGAV,FBN1,ITGAV,Human,1
AZGP1_ITGAV,AZGP1,ITGAV,Human,1
ADAM9_ITGAV,ADAM9,ITGAV,Human,1
VEGFA_ITGAV,VEGFA,ITGAV,Human,1
ADAM15_ITGAV,ADAM15,ITGAV,Human,1
COL1A2_ITGAV,COL1A2,ITGAV,Human,1
COL4A1_ITGAV,COL4A1,ITGAV,Human,1
FN1_ITGAV,FN1,ITGAV,Human,1
CP_SLC40A1,CP,SLC40A1,Human,1
IGFBP4_LRP6,IGFBP4,LRP6,Human,1
APP_LRP6,APP,LRP6,Human,1
CKLF_LRP6,CKLF,LRP6,Human,1
WNT5A_LRP6,WNT5A,LRP6,Human,1
DKK1_LRP6,DKK1,LRP6,Human,1
WNT7A_LRP6,WNT7A,LRP6,Human,1
DSC2_DSG2,DSC2,DSG2,Human,1
SAA1_SCARB1,SAA1,SCARB1,Human,1
PDGFC_PDGFRB,PDGFC,PDGFRB,Human,1
PDGFB_PDGFRB,PDGFB,PDGFRB,Human,1
PDGFD_PDGFRB,PDGFD,PDGFRB,Human,1
MFGE8_PDGFRB,MFGE8,PDGFRB,Human,1
PDGFA_PDGFRB,PDGFA,PDGFRB,Human,1
PDGFC_FLT4,PDGFC,FLT4,Human,1
TNF_FLT4,TNF,FLT4,Human,1
COL1A2_FLT4,COL1A2,FLT4,Human,1
FN1_FLT4,FN1,FLT4,Human,1
CALM1_GLP2R,CALM1,GLP2R,Human,1
CALM1_KCNN4,CALM1,KCNN4,Human,1
ARF1_PLD2,ARF1,PLD2,Human,1
HRAS_GRIN2D,HRAS,GRIN2D,Human,1
IL16_GRIN2D,IL16,GRIN2D,Human,1
HSPA1A_GRIN2D,HSPA1A,GRIN2D,Human,1
PSEN1_NOTCH3,PSEN1,NOTCH3,Human,1
THBS2_NOTCH3,THBS2,NOTCH3,Human,1
SCGB3A1_NOTCH3,SCGB3A1,NOTCH3,Human,1
JAG2_NOTCH3,JAG2,NOTCH3,Human,1
APP_APLP2,APP,APLP2,Human,1
HLA-A_APLP2,HLA-A,APLP2,Human,1
BMP2_ACVR1,BMP2,ACVR1,Human,1
GPC3_CD81,GPC3,CD81,Human,1
CD99_CD81,CD99,CD81,Human,1
VCAN_SELP,VCAN,SELP,Human,1
CD34_SELP,CD34,SELP,Human,1
SERPING1_SELP,SERPING1,SELP,Human,1
CD24_SELP,CD24,SELP,Human,1
GAS6_TYRO3,GAS6,TYRO3,Human,1
PROS1_TYRO3,PROS1,TYRO3,Human,1
VEGFA_TYRO3,VEGFA,TYRO3,Human,1
AFDN_NECTIN1,AFDN,NECTIN1,Human,1
WNT5A_MCAM,WNT5A,MCAM,Human,1
LAMA1_GPC1,LAMA1,GPC1,Human,1
BMP2_GPC1,BMP2,GPC1,Human,1
APP_GPC1,APP,GPC1,Human,1
COL18A1_GPC1,COL18A1,GPC1,Human,1
SLIT2_GPC1,SLIT2,GPC1,Human,1
SHH_GPC1,SHH,GPC1,Human,1
VEGFA_GPC1,VEGFA,GPC1,Human,1
IL18_IL18RAP,IL18,IL18RAP,Human,1
TNC_ITGA9,TNC,ITGA9,Human,1
SPP1_ITGA9,SPP1,ITGA9,Human,1
ADAM12_ITGA9,ADAM12,ITGA9,Human,1
VCAM1_ITGA9,VCAM1,ITGA9,Human,1
TGM2_ITGA9,TGM2,ITGA9,Human,1
VEGFA_ITGA9,VEGFA,ITGA9,Human,1
ADAM15_ITGA9,ADAM15,ITGA9,Human,1
FN1_ITGA9,FN1,ITGA9,Human,1
AGT_ENPEP,AGT,ENPEP,Human,1
VEGFB_NRP1,VEGFB,NRP1,Human,1
SEMA3B_NRP1,SEMA3B,NRP1,Human,1
PGF_NRP1,PGF,NRP1,Human,1
SEMA4A_NRP1,SEMA4A,NRP1,Human,1
VEGFA_NRP1,VEGFA,NRP1,Human,1
FGF7_NRP1,FGF7,NRP1,Human,1
NLGN2_NRXN2,NLGN2,NRXN2,Human,1
AFDN_NRXN2,AFDN,NRXN2,Human,1
VCAM1_ITGB7,VCAM1,ITGB7,Human,1
FN1_ITGB7,FN1,ITGB7,Human,1
AREG_ERBB3,AREG,ERBB3,Human,1
TGFA_ERBB3,TGFA,ERBB3,Human,1
GPC3_IGF1R,GPC3,IGF1R,Human,1
INS_IGF1R,INS,IGF1R,Human,1
GNAI2_IGF1R,GNAI2,IGF1R,Human,1
S100A4_ERBB2,S100A4,ERBB2,Human,1
SEMA4D_ERBB2,SEMA4D,ERBB2,Human,1
HLA-A_ERBB2,HLA-A,ERBB2,Human,1
HSP90B1_ERBB2,HSP90B1,ERBB2,Human,1
TGFA_ERBB2,TGFA,ERBB2,Human,1
HSP90AA1_ERBB2,HSP90AA1,ERBB2,Human,1
MMP9_IFNAR1,MMP9,IFNAR1,Human,1
TNF_CELSR2,TNF,CELSR2,Human,1
SYK_FCGR2A,SYK,FCGR2A,Human,1
CXCL12_ACKR3,CXCL12,ACKR3,Human,1
EFNA3_EPHA1,EFNA3,EPHA1,Human,1
EFNA1_EPHA1,EFNA1,EPHA1,Human,1
EFNA5_EPHA1,EFNA5,EPHA1,Human,1
EFNA4_EPHA1,EFNA4,EPHA1,Human,1
MFNG_NOTCH1,MFNG,NOTCH1,Human,1
PSEN1_NOTCH1,PSEN1,NOTCH1,Human,1
TNF_NOTCH1,TNF,NOTCH1,Human,1
WNT4_NOTCH1,WNT4,NOTCH1,Human,1
ADAM17_NOTCH1,ADAM17,NOTCH1,Human,1
MFAP2_NOTCH1,MFAP2,NOTCH1,Human,1
JAG2_NOTCH1,JAG2,NOTCH1,Human,1
PLAU_ST14,PLAU,ST14,Human,1
SPINT1_ST14,SPINT1,ST14,Human,1
GNAI2_ADRA2A,GNAI2,ADRA2A,Human,1
AGT_ADRA2A,AGT,ADRA2A,Human,1
CXCL12_ADRA2A,CXCL12,ADRA2A,Human,1
CXCL3_ADRA2A,CXCL3,ADRA2A,Human,1
CCL5_ADRA2A,CCL5,ADRA2A,Human,1
SST_ADRA2A,SST,ADRA2A,Human,1
POMC_ADRA2A,POMC,ADRA2A,Human,1
SAA1_ADRA2A,SAA1,ADRA2A,Human,1
CXCL8_ADRA2A,CXCL8,ADRA2A,Human,1
CXCL2_ADRA2A,CXCL2,ADRA2A,Human,1
CXCL5_ADRA2A,CXCL5,ADRA2A,Human,1
CCL19_ADRA2A,CCL19,ADRA2A,Human,1
APP_ADRA2A,APP,ADRA2A,Human,1
CXCL1_ADRA2A,CXCL1,ADRA2A,Human,1
PPY_ADRA2A,PPY,ADRA2A,Human,1
CXCL16_ADRA2A,CXCL16,ADRA2A,Human,1
CCL20_ADRA2A,CCL20,ADRA2A,Human,1
CCL28_ADRA2A,CCL28,ADRA2A,Human,1
ANXA1_ADRA2A,ANXA1,ADRA2A,Human,1
PDGFC_FLT1,PDGFC,FLT1,Human,1
PGF_FLT1,PGF,FLT1,Human,1
VEGFB_FLT1,VEGFB,FLT1,Human,1
VEGFA_FLT1,VEGFA,FLT1,Human,1
SORBS1_ITGA1,SORBS1,ITGA1,Human,1
COL4A5_ITGA1,COL4A5,ITGA1,Human,1
LAMA2_ITGA1,LAMA2,ITGA1,Human,1
LAMA1_ITGA1,LAMA1,ITGA1,Human,1
COL6A1_ITGA1,COL6A1,ITGA1,Human,1
COL5A1_ITGA1,COL5A1,ITGA1,Human,1
COL6A2_ITGA1,COL6A2,ITGA1,Human,1
COL6A3_ITGA1,COL6A3,ITGA1,Human,1
COL5A2_ITGA1,COL5A2,ITGA1,Human,1
COL1A2_ITGA1,COL1A2,ITGA1,Human,1
COL4A1_ITGA1,COL4A1,ITGA1,Human,1
FBN1_ITGB6,FBN1,ITGB6,Human,1
FN1_ITGB6,FN1,ITGB6,Human,1
FYN_THY1,FYN,THY1,Human,1
SFTPD_LY96,SFTPD,LY96,Human,1
BGN_LY96,BGN,LY96,Human,1
CSF1_CSF1R,CSF1,CSF1R,Human,1
WNT4_FZD1,WNT4,FZD1,Human,1
WNT7B_FZD1,WNT7B,FZD1,Human,1
GPI_AMFR,GPI,AMFR,Human,1
GNAS_PTGIR,GNAS,PTGIR,Human,1
FGF19_FGFR4,FGF19,FGFR4,Human,1
FGF8_FGFR4,FGF8,FGFR4,Human,1
PLAU_ITGA5,PLAU,ITGA5,Human,1
SPP1_ITGA5,SPP1,ITGA5,Human,1
FGG_ITGA5,FGG,ITGA5,Human,1
FGA_ITGA5,FGA,ITGA5,Human,1
FGB_ITGA5,FGB,ITGA5,Human,1
FBN1_ITGA5,FBN1,ITGA5,Human,1
COL18A1_ITGA5,COL18A1,ITGA5,Human,1
ADAM15_ITGA5,ADAM15,ITGA5,Human,1
ADAM17_ITGA5,ADAM17,ITGA5,Human,1
FN1_ITGA5,FN1,ITGA5,Human,1
GNAS_ADCY9,GNAS,ADCY9,Human,1
GNAI2_ADCY9,GNAI2,ADCY9,Human,1
WNT7B_LRP5,WNT7B,LRP5,Human,1
DKK1_LRP5,DKK1,LRP5,Human,1
PSEN1_NCSTN,PSEN1,NCSTN,Human,1
GAS6_MERTK,GAS6,MERTK,Human,1
PROS1_MERTK,PROS1,MERTK,Human,1
FN1_IL17RC,FN1,IL17RC,Human,1
PLAU_ITGB5,PLAU,ITGB5,Human,1
SORBS1_ITGB5,SORBS1,ITGB5,Human,1
SPP1_ITGB5,SPP1,ITGB5,Human,1
TLN1_ITGB5,TLN1,ITGB5,Human,1
COL4A2_ITGB5,COL4A2,ITGB5,Human,1
ADAM9_ITGB5,ADAM9,ITGB5,Human,1
COL18A1_ITGB5,COL18A1,ITGB5,Human,1
LTBP3_ITGB5,LTBP3,ITGB5,Human,1
LTBP1_ITGB5,LTBP1,ITGB5,Human,1
MST1_MST1R,MST1,MST1R,Human,1
COL4A5_ITGA2,COL4A5,ITGA2,Human,1
LAMA2_ITGA2,LAMA2,ITGA2,Human,1
LAMA1_ITGA2,LAMA1,ITGA2,Human,1
LAMC3_ITGA2,LAMC3,ITGA2,Human,1
COL6A1_ITGA2,COL6A1,ITGA2,Human,1
COL11A1_ITGA2,COL11A1,ITGA2,Human,1
COL6A2_ITGA2,COL6A2,ITGA2,Human,1
MMP1_ITGA2,MMP1,ITGA2,Human,1
HSPG2_ITGA2,HSPG2,ITGA2,Human,1
LAMB3_ITGA2,LAMB3,ITGA2,Human,1
COL1A2_ITGA2,COL1A2,ITGA2,Human,1
COL4A1_ITGA2,COL4A1,ITGA2,Human,1
FN1_ITGA2,FN1,ITGA2,Human,1
COL7A1_ITGA2,COL7A1,ITGA2,Human,1
COL3A1_ITGA2,COL3A1,ITGA2,Human,1
NUCB2_ERAP1,NUCB2,ERAP1,Human,1
TNF_TNFRSF21,TNF,TNFRSF21,Human,1
FAT4_DCHS1,FAT4,DCHS1,Human,1
B2M_CD3D,B2M,CD3D,Human,1
HLA-A_CD3D,HLA-A,CD3D,Human,1
HLA-C_CD3D,HLA-C,CD3D,Human,1
HLA-B_CD3D,HLA-B,CD3D,Human,1
GAS6_AXL,GAS6,AXL,Human,1
PROS1_AXL,PROS1,AXL,Human,1
C4A_C3AR1,C4A,C3AR1,Human,1
LRPAP1_LRP8,LRPAP1,LRP8,Human,1
RELN_LRP8,RELN,LRP8,Human,1
SORBS1_INSR,SORBS1,INSR,Human,1
INS_INSR,INS,INSR,Human,1
ARF1_INSR,ARF1,INSR,Human,1
HRAS_INSR,HRAS,INSR,Human,1
CALM1_INSR,CALM1,INSR,Human,1
SLIT2_ROBO4,SLIT2,ROBO4,Human,1
FN1_ROBO4,FN1,ROBO4,Human,1
GNAI2_S1PR1,GNAI2,S1PR1,Human,1
PDGFB_S1PR1,PDGFB,S1PR1,Human,1
CD6_ALCAM,CD6,ALCAM,Human,1
S100A9_ALCAM,S100A9,ALCAM,Human,1
LAMA3_SDC2,LAMA3,SDC2,Human,1
LAMA1_SDC2,LAMA1,SDC2,Human,1
HRAS_SDC2,HRAS,SDC2,Human,1
FN1_SDC2,FN1,SDC2,Human,1
PLAU_MRC2,PLAU,MRC2,Human,1
LGALS9_MRC2,LGALS9,MRC2,Human,1
CALM1_AQP1,CALM1,AQP1,Human,1
RARRES2_CMKLR1,RARRES2,CMKLR1,Human,1
LGALS9_HAVCR2,LGALS9,HAVCR2,Human,1
C1QA_CSPG4,C1QA,CSPG4,Human,1
C4B_CD46,C4B,CD46,Human,1
EDN1_EDNRA,EDN1,EDNRA,Human,1
SEMA4A_PLXND1,SEMA4A,PLXND1,Human,1
SEMA4D_MET,SEMA4D,MET,Human,1
SEMA5A_MET,SEMA5A,MET,Human,1
CD55_ADGRE2,CD55,ADGRE2,Human,1
SEMA4B_DCBLD2,SEMA4B,DCBLD2,Human,1
POMC_PTH1R,POMC,PTH1R,Human,1
ADM_PTH1R,ADM,PTH1R,Human,1
ADM2_PTH1R,ADM2,PTH1R,Human,1
PDX1_SLC2A2,PDX1,SLC2A2,Human,1
CD86_CD28,CD86,CD28,Human,1
POMC_VIPR1,POMC,VIPR1,Human,1
ADM_VIPR1,ADM,VIPR1,Human,1
ADM2_VIPR1,ADM2,VIPR1,Human,1
GNAS_VIPR1,GNAS,VIPR1,Human,1
PTMA_VIPR1,PTMA,VIPR1,Human,1
CALM1_VIPR1,CALM1,VIPR1,Human,1
APOD_LEPR,APOD,LEPR,Human,1
AFDN_EPHB3,AFDN,EPHB3,Human,1
CCL28_CCR10,CCL28,CCR10,Human,1
NTN4_UNC5A,NTN4,UNC5A,Human,1
FAM3C_LAMP1,FAM3C,LAMP1,Human,1
F10_F3,F10,F3,Human,1
PTN_PTPRB,PTN,PTPRB,Human,1
EFNA3_EPHA3,EFNA3,EPHA3,Human,1
EFNA1_EPHA3,EFNA1,EPHA3,Human,1
EFNA4_EPHA3,EFNA4,EPHA3,Human,1
PTGS2_CAV1,PTGS2,CAV1,Human,1
HRAS_CAV1,HRAS,CAV1,Human,1
PLAU_PLAUR,PLAU,PLAUR,Human,1
MMP12_PLAUR,MMP12,PLAUR,Human,1
FN1_PLAUR,FN1,PLAUR,Human,1
BMP2_ACVR2B,BMP2,ACVR2B,Human,1
LAMB3_COL17A1,LAMB3,COL17A1,Human,1
RGMA_NEO1,RGMA,NEO1,Human,1
TNF_TRADD,TNF,TRADD,Human,1
MDK_SDC3,MDK,SDC3,Human,1
COL5A1_SDC3,COL5A1,SDC3,Human,1
TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,Human,1
ICAM2_ITGAL,ICAM2,ITGAL,Human,1
PLAU_IGF2R,PLAU,IGF2R,Human,1
RARRES2_CCRL2,RARRES2,CCRL2,Human,1
CCL5_CCRL2,CCL5,CCRL2,Human,1
EFNA3_EPHA2,EFNA3,EPHA2,Human,1
EFNA1_EPHA2,EFNA1,EPHA2,Human,1
EFNA4_EPHA2,EFNA4,EPHA2,Human,1
SEMA4D_PLXNB1,SEMA4D,PLXNB1,Human,1
SEMA4A_PLXNB1,SEMA4A,PLXNB1,Human,1
S100A10_TRPV6,S100A10,TRPV6,Human,1
TNFSF13B_TFRC,TNFSF13B,TFRC,Human,1
B2M_TFRC,B2M,TFRC,Human,1
SEMA3B_NRP2,SEMA3B,NRP2,Human,1
VEGFA_NRP2,VEGFA,NRP2,Human,1
PGF_NRP2,PGF,NRP2,Human,1
CXCL2_DPP4,CXCL2,DPP4,Human,1
CXCL12_DPP4,CXCL12,DPP4,Human,1
ADA_DPP4,ADA,DPP4,Human,1
B2M_CD247,B2M,CD247,Human,1
LGALS9_CD47,LGALS9,CD47,Human,1
THBS2_CD47,THBS2,CD47,Human,1
COL4A1_CD47,COL4A1,CD47,Human,1
GNAS_ADORA1,GNAS,ADORA1,Human,1
AFDN_NECTIN4,AFDN,NECTIN4,Human,1
AFDN_F11R,AFDN,F11R,Human,1
CCL5_ACKR1,CCL5,ACKR1,Human,1
CXCL1_ACKR1,CXCL1,ACKR1,Human,1
CD58_CD2,CD58,CD2,Human,1
CD59_CD2,CD59,CD2,Human,1
EDN1_ADGRL4,EDN1,ADGRL4,Human,1
MDK_TSPAN1,MDK,TSPAN1,Human,1
BMP2_BMPR1A,BMP2,BMPR1A,Human,1
TNFSF13B_CD40,TNFSF13B,CD40,Human,1
LTB_CD40,LTB,CD40,Human,1
ANGPTL2_TIE1,ANGPTL2,TIE1,Human,1
MDK_SDC4,MDK,SDC4,Human,1
CXCL12_SDC4,CXCL12,SDC4,Human,1
CCL5_SDC4,CCL5,SDC4,Human,1
LAMA1_SDC4,LAMA1,SDC4,Human,1
